Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
Low Fat,0.119047301,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,3735.138
Low Fat,0.119760075,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,2097.27
Low Fat,0.103,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,1516.0266
Regular,0.2030135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,1589.2646
Regular,0.172196376,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,718.3982
Low Fat,0.192291137,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,3791.0652
Low Fat,0.220818348,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,2527.3768
Low Fat,0.174958197,Hard Drinks,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,796.9626
low fat,0.289357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,5580.7356
Low Fat,0.136230816,Snack Foods,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,1207.0954
Low Fat,0.142624006,Meat,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,1523.3504
Low Fat,0.208274111,Dairy,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,690.4346
Low Fat,0.234383762,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,1231.73
Regular,0.218857223,Snack Foods,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,3896.2616
Low Fat,0.135677678,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,5942.265
Low Fat,0.130622076,Household,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,2676.516
Low Fat,0.142355947,Frozen Foods,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,7370.406
Low Fat,0.131907832,Health and Hygiene,130.431,OUT049,Medium,Tier 1,Supermarket Type1,778.986
Low Fat,0.193436094,Household,85.0882,OUT049,Medium,Tier 1,Supermarket Type1,2233.0932
Low Fat,0.249399712,Meat,103.9648,OUT049,Medium,Tier 1,Supermarket Type1,1661.8368
Regular,0.177264356,Snack Foods,264.7568,OUT049,Medium,Tier 1,Supermarket Type1,4745.8224
Low Fat,0.162582996,Others,238.8538,OUT049,Medium,Tier 1,Supermarket Type1,6008.845
Low Fat,0.168732883,Frozen Foods,45.7402,OUT049,Medium,Tier 1,Supermarket Type1,780.9834
Regular,0.236700752,Baking Goods,52.9298,OUT049,Medium,Tier 1,Supermarket Type1,1995.4026
Low Fat,0.130106459,Meat,75.367,OUT049,Medium,Tier 1,Supermarket Type1,535.969
Low Fat,0.191846306,Fruits and Vegetables,61.451,OUT049,Medium,Tier 1,Supermarket Type1,759.012
Low Fat,0.222721451,Household,95.5094,OUT049,Medium,Tier 1,Supermarket Type1,1237.7222
Low Fat,0.134452265,Baking Goods,94.3462,OUT049,Medium,Tier 1,Supermarket Type1,925.462
Regular,0.23148269,Baking Goods,223.9404,OUT049,Medium,Tier 1,Supermarket Type1,4950.8888
Low Fat,0.124362955,Fruits and Vegetables,103.2306,OUT049,Medium,Tier 1,Supermarket Type1,2404.2038
Low Fat,0.210765165,Soft Drinks,59.5904,OUT049,Medium,Tier 1,Supermarket Type1,703.0848
Low Fat,0.113647477,Meat,66.3826,OUT049,Medium,Tier 1,Supermarket Type1,1937.478
Low Fat,0.118749341,Household,182.2608,OUT049,Medium,Tier 1,Supermarket Type1,3307.6944
Low Fat,0.180628053,Household,197.611,OUT049,Medium,Tier 1,Supermarket Type1,3142.576
Regular,0.16970068,Snack Foods,55.2956,OUT049,Medium,Tier 1,Supermarket Type1,1255.6988
Low Fat,0.215271498,Snack Foods,58.222,OUT049,Medium,Tier 1,Supermarket Type1,659.142
Low Fat,0.208761491,Fruits and Vegetables,84.8908,OUT049,Medium,Tier 1,Supermarket Type1,1677.816
reg,0.159960814,Snack Foods,230.0984,OUT049,Medium,Tier 1,Supermarket Type1,3707.1744
Low Fat,0.159919038,Snack Foods,212.8218,OUT049,Medium,Tier 1,Supermarket Type1,5770.4886
Regular,0.125460102,Fruits and Vegetables,226.8036,OUT049,Medium,Tier 1,Supermarket Type1,3415.554
Low Fat,0.15513575,Health and Hygiene,190.1846,OUT049,Medium,Tier 1,Supermarket Type1,6687.961
Regular,0.165508438,Fruits and Vegetables,227.1062,OUT049,Medium,Tier 1,Supermarket Type1,5642.655
Regular,0.26017236,Snack Foods,149.1418,OUT049,Medium,Tier 1,Supermarket Type1,588.5672
Regular,0.150565208,Dairy,213.4876,OUT049,Medium,Tier 1,Supermarket Type1,1929.4884
Low Fat,0.267196823,Household,120.5124,OUT049,Medium,Tier 1,Supermarket Type1,2133.2232
Regular,0.115282366,Snack Foods,132.5284,OUT049,Medium,Tier 1,Supermarket Type1,1713.7692
Regular,0.168999008,Snack Foods,177.966,OUT049,Medium,Tier 1,Supermarket Type1,2336.958
Low Fat,0.129384672,Frozen Foods,208.9954,OUT049,Medium,Tier 1,Supermarket Type1,4584.6988
Low Fat,0.28124575,Dairy,158.1288,OUT049,Medium,Tier 1,Supermarket Type1,3299.7048
Regular,0.14905781,Dairy,43.8744,OUT049,Medium,Tier 1,Supermarket Type1,633.8416
Regular,0.138205866,Fruits and Vegetables,171.3448,OUT049,Medium,Tier 1,Supermarket Type1,2386.2272
Regular,0.203330684,Fruits and Vegetables,123.4388,OUT049,Medium,Tier 1,Supermarket Type1,1238.388
Regular,0.234128467,Breakfast,93.1804,OUT049,Medium,Tier 1,Supermarket Type1,1561.9668
Regular,0.117816356,Dairy,194.1162,OUT049,Medium,Tier 1,Supermarket Type1,3848.324
Low Fat,0.134470832,Household,110.2228,OUT049,Medium,Tier 1,Supermarket Type1,1547.3192
Regular,0.127579432,Meat,105.3306,OUT049,Medium,Tier 1,Supermarket Type1,1045.306
Low Fat,0.203230114,Frozen Foods,112.9886,OUT049,Medium,Tier 1,Supermarket Type1,1667.829
Regular,0.237532392,Canned,39.448,OUT049,Medium,Tier 1,Supermarket Type1,878.856
LF,0.186133128,Baking Goods,120.1756,OUT049,Medium,Tier 1,Supermarket Type1,1332.9316
Regular,0.144622264,Fruits and Vegetables,124.0072,OUT049,Medium,Tier 1,Supermarket Type1,4042.7376
Low Fat,0.278352413,Soft Drinks,147.4102,OUT049,Medium,Tier 1,Supermarket Type1,2478.7734
Regular,0.13333748,Snack Foods,222.9114,OUT049,Medium,Tier 1,Supermarket Type1,5764.4964
Regular,0.207245198,Canned,105.3622,OUT049,Medium,Tier 1,Supermarket Type1,1270.3464
Low Fat,0.147995631,Dairy,89.2198,OUT049,Medium,Tier 1,Supermarket Type1,1308.297
Low Fat,0.201566832,Meat,98.3042,OUT049,Medium,Tier 1,Supermarket Type1,1488.063
Low Fat,0.21384417,Fruits and Vegetables,189.2846,OUT049,Medium,Tier 1,Supermarket Type1,5159.2842
Regular,0.126567538,Meat,226.8404,OUT049,Medium,Tier 1,Supermarket Type1,4500.808
Low Fat,0.196027718,Health and Hygiene,101.4674,OUT049,Medium,Tier 1,Supermarket Type1,2954.1546
Low Fat,0.130212058,Canned,152.734,OUT049,Medium,Tier 1,Supermarket Type1,2756.412
Low Fat,0.134273559,Seafood,160.0604,OUT049,Medium,Tier 1,Supermarket Type1,1267.6832
reg,0.185529704,Frozen Foods,56.9588,OUT049,Medium,Tier 1,Supermarket Type1,744.3644
Low Fat,0.175088552,Hard Drinks,253.704,OUT049,Medium,Tier 1,Supermarket Type1,4554.072
Low Fat,0.103,Snack Foods,120.9072,OUT049,Medium,Tier 1,Supermarket Type1,1470.0864
Low Fat,0.142329257,Household,127.6678,OUT049,Medium,Tier 1,Supermarket Type1,2924.8594
Regular,0.111579863,Meat,72.3038,OUT049,Medium,Tier 1,Supermarket Type1,960.7494
Regular,0.161516562,Fruits and Vegetables,164.1552,OUT049,Medium,Tier 1,Supermarket Type1,5198.5664
Regular,0.161365706,Frozen Foods,82.1908,OUT049,Medium,Tier 1,Supermarket Type1,2432.8332
Low Fat,0.103,Canned,179.3002,OUT049,Medium,Tier 1,Supermarket Type1,2328.3026
Low Fat,0.160485328,Fruits and Vegetables,126.2046,OUT049,Medium,Tier 1,Supermarket Type1,1867.569
Low Fat,0.194008572,Hard Drinks,129.6336,OUT049,Medium,Tier 1,Supermarket Type1,3195.84
Regular,0.259286566,Fruits and Vegetables,238.9538,OUT049,Medium,Tier 1,Supermarket Type1,4086.0146
reg,0.103,Fruits and Vegetables,178.9318,OUT049,Medium,Tier 1,Supermarket Type1,3067.3406
Low Fat,0.179855207,Dairy,59.3536,OUT049,Medium,Tier 1,Supermarket Type1,1470.0864
